# Gene Family	demo_Abundance-RPKs
UniRef90_L1PB72	47.0041129015
UniRef90_L1PB72|unclassified	47.0041129015
UniRef90_C3QAH0	46.9728115976
UniRef90_C3QAH0|unclassified	46.9728115976
UniRef90_A0A0P0F5A8	46.8775064234
UniRef90_A0A0P0F5A8|unclassified	46.8775064234
UniRef90_R5B4U4	46.8641392236
UniRef90_R5B4U4|unclassified	46.8641392236
UniRef90_R5AV87	46.7870447556
UniRef90_R5AV87|unclassified	46.7870447556
UniRef90_A0A139LCU5	46.7388537721
UniRef90_A0A139LCU5|unclassified	46.7388537721
UniRef90_A0A174KAJ0	46.6358014430
UniRef90_A0A174KAJ0|unclassified	46.6358014430
UniRef90_D6CXY4	46.6171455750
UniRef90_D6CXY4|unclassified	46.6171455750
UniRef90_A0A173XX50	46.5064023189
UniRef90_A0A173XX50|unclassified	46.5064023189
UniRef90_R5B2B1	46.4980534850
UniRef90_R5B2B1|unclassified	46.4980534850
UniRef90_A0A139KTJ3	46.4476047011
UniRef90_A0A139KTJ3|unclassified	46.4476047011
UniRef90_A0A174RWI3	46.4273965197
UniRef90_A0A174RWI3|unclassified	46.4273965197
UniRef90_A0A174GN23	46.3512130339
UniRef90_A0A174GN23|unclassified	46.3512130339
UniRef90_A0A1Y4Q0L6	46.2069324338
UniRef90_A0A1Y4Q0L6|unclassified	46.2069324338
UniRef90_A0A3A9BR19	46.1669371192
UniRef90_A0A3A9BR19|unclassified	46.1669371192
UniRef90_A0A174BMU3	46.1602158464
UniRef90_A0A174BMU3|unclassified	46.1602158464
UniRef90_A0A174AX15	46.0270251699
UniRef90_A0A174AX15|unclassified	46.0270251699
UniRef90_A0A174I4A7	46.0256485698
UniRef90_A0A174I4A7|unclassified	46.0256485698
UniRef90_A0A2V1IPF7	45.8322945970
UniRef90_A0A2V1IPF7|unclassified	45.8322945970
UniRef90_A0A173XRR6	45.8179240596
UniRef90_A0A173XRR6|unclassified	45.8179240596
UniRef90_P94598	45.7138485106
UniRef90_P94598|unclassified	45.7138485106
UniRef90_R5B249	45.6534421798
UniRef90_R5B249|unclassified	45.6534421798
UniRef90_A0A015PDZ5	45.6492924302
UniRef90_A0A015PDZ5|unclassified	45.6492924302
UniRef90_E5C9C0	45.5559008534
UniRef90_E5C9C0|unclassified	45.5559008534
UniRef90_R5B7H9	45.5224238639
UniRef90_R5B7H9|unclassified	45.5224238639
UniRef90_A0A173ZQJ7	45.4740554734
UniRef90_A0A173ZQJ7|unclassified	45.4740554734
UniRef90_A0A173UG62	45.4094993463
UniRef90_A0A173UG62|unclassified	45.4094993463
UniRef90_W6PCF0	45.3943045236
UniRef90_W6PCF0|unclassified	45.3943045236
UniRef90_C6IGG8	45.2555217813
UniRef90_C6IGG8|unclassified	45.2555217813
UniRef90_R5AWJ5	45.1900253639
UniRef90_R5AWJ5|unclassified	45.1900253639
UniRef90_E5CD28	45.0881219493
UniRef90_E5CD28|unclassified	45.0881219493
UniRef90_A0A1G6GC65	44.8792958079
UniRef90_A0A1G6GC65|unclassified	44.8792958079
UniRef90_R5AZY9	44.8494526568
UniRef90_R5AZY9|unclassified	44.8494526568
UniRef90_A7LT54	44.8333242028
UniRef90_A7LT54|unclassified	44.8333242028
UniRef90_R5V0P0	44.7593443716
UniRef90_R5V0P0|unclassified	44.7593443716
UniRef90_R5B6X7	44.6079029930
UniRef90_R5B6X7|unclassified	44.6079029930
UniRef90_A0A173XZC3	44.6017537373
UniRef90_A0A173XZC3|unclassified	44.6017537373
UniRef90_R5B8L0	44.5963682312
UniRef90_R5B8L0|unclassified	44.5963682312
UniRef90_R5B7F2	44.5557856313
UniRef90_R5B7F2|unclassified	44.5557856313
UniRef90_A0A174EYX9	44.4978401392
UniRef90_A0A174EYX9|unclassified	44.4978401392
UniRef90_A0A174GSV2	44.4309421685
UniRef90_A0A174GSV2|unclassified	44.4309421685
UniRef90_A0A174F124	44.1476863749
UniRef90_A0A174F124|unclassified	44.1476863749
UniRef90_A0A081U003	44.0510144882
UniRef90_A0A081U003|unclassified	44.0510144882
UniRef90_A0A0P0FER8	43.9408972979
UniRef90_A0A0P0FER8|unclassified	43.9408972979
UniRef90_A0A174M316	43.9063867522
UniRef90_A0A174M316|unclassified	43.9063867522
UniRef90_E1YRP3	43.8804291446
UniRef90_E1YRP3|unclassified	43.8804291446
UniRef90_D6D3P5	43.7568670277
UniRef90_D6D3P5|unclassified	43.7568670277
UniRef90_A0A0N7IAS3	43.7087713570
UniRef90_A0A0N7IAS3|unclassified	43.7087713570
UniRef90_R5B7F8	43.6344481057
UniRef90_R5B7F8|unclassified	43.6344481057
UniRef90_A0A1C7GYP6	43.5961546516
UniRef90_A0A1C7GYP6|unclassified	43.5961546516
UniRef90_A0A0N7J704	43.5337267154
UniRef90_A0A0N7J704|unclassified	43.5337267154
UniRef90_A0A0P0FBL5	43.4062858894
UniRef90_A0A0P0FBL5|unclassified	43.4062858894
UniRef90_A7LXU3	43.3735507066
UniRef90_A7LXU3|unclassified	43.3735507066
UniRef90_R7KG75	43.3565727590
UniRef90_R7KG75|unclassified	43.3565727590
UniRef90_R5B6L4	43.3225394456
UniRef90_R5B6L4|unclassified	43.3225394456
UniRef90_D6D111	43.3016351626
UniRef90_D6D111|unclassified	43.3016351626
UniRef90_A5ZEZ9	43.2226313797
UniRef90_A5ZEZ9|unclassified	43.2226313797
UniRef90_A0A0P0FHX0	43.1864201640
UniRef90_A0A0P0FHX0|unclassified	43.1864201640
UniRef90_A0A078Q0G7	43.1356124392
UniRef90_A0A078Q0G7|unclassified	43.1356124392
UniRef90_R5B8F4	43.1247587846
UniRef90_R5B8F4|unclassified	43.1247587846
UniRef90_I9S795	43.0411686441
UniRef90_I9S795|unclassified	43.0411686441
UniRef90_Q8A4A2	42.9429429352
UniRef90_Q8A4A2|unclassified	42.9429429352
UniRef90_A0A081TW72	42.9059754003
UniRef90_A0A081TW72|unclassified	42.9059754003
UniRef90_P49942	42.8401605016
UniRef90_P49942|unclassified	42.8401605016
UniRef90_C3QYN2	42.6940501025
UniRef90_C3QYN2|unclassified	42.6940501025
UniRef90_R5B6B0	42.6244626032
UniRef90_R5B6B0|unclassified	42.6244626032
